cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts,season_frac,half,third,quarter,half_label,third_label,quarter_label
2014,2010,2013,16,xgb_clf,massa,11,18,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,16,xgb_ranker,massa,11,18,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,16,lgb_reg,vergne,13,12,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,16,ensemble,massa,11,18,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,ridge,kevin_magnussen,8,15,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,rf_reg,raikkonen,13,12,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,rf_clf,vergne,10,25,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,xgb_reg,kevin_magnussen,8,15,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,xgb_clf,grosjean,11,18,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,xgb_ranker,grosjean,11,18,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,lgb_reg,raikkonen,13,12,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,17,ensemble,kevin_magnussen,8,15,0.8421052631578947,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,ridge,raikkonen,7,12,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,rf_reg,raikkonen,7,12,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,rf_clf,vergne,13,12,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,xgb_reg,kevin_magnussen,9,18,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,xgb_clf,grosjean,17,4,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,xgb_ranker,grosjean,17,4,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,lgb_reg,grosjean,17,4,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,18,ensemble,raikkonen,7,12,0.8947368421052632,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,ridge,kevin_magnussen,11,18,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,rf_reg,raikkonen,10,25,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,rf_clf,perez,7,12,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,xgb_reg,ricciardo,4,6,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,xgb_clf,perez,7,12,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,xgb_ranker,perez,7,12,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,lgb_reg,kevin_magnussen,11,18,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,19,ensemble,kevin_magnussen,11,18,0.9473684210526315,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2015,2011,2014,1,ridge,ricciardo,6,10,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,rf_reg,ricciardo,6,10,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,rf_clf,perez,10,25,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,xgb_reg,maldonado,15,8,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,xgb_clf,max_verstappen,13,12,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,xgb_ranker,max_verstappen,13,12,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,lgb_reg,ricciardo,6,10,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,1,ensemble,ricciardo,6,10,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,ridge,sainz,8,15,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,rf_reg,bottas,5,8,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,rf_clf,sainz,8,15,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,xgb_reg,ricciardo,10,25,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,xgb_clf,nasr,12,15,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,xgb_ranker,sainz,8,15,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,lgb_reg,rosberg,3,4,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,2,ensemble,nasr,12,15,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,ridge,maldonado,18,2,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,rf_reg,ricciardo,9,18,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,rf_clf,max_verstappen,17,4,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,xgb_reg,raikkonen,4,6,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,xgb_clf,max_verstappen,17,4,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,xgb_ranker,max_verstappen,17,4,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,lgb_reg,ricciardo,9,18,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,3,ensemble,ricciardo,9,18,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,ridge,ricciardo,6,10,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,rf_reg,ricciardo,6,10,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,rf_clf,max_verstappen,18,2,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,xgb_reg,hulkenberg,13,12,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,xgb_clf,sainz,19,1,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,xgb_ranker,sainz,19,1,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,lgb_reg,hulkenberg,13,12,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,4,ensemble,hulkenberg,13,12,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,ridge,max_verstappen,11,18,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,rf_reg,ricciardo,7,12,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,rf_clf,nasr,12,15,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,xgb_reg,kvyat,10,25,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,xgb_clf,nasr,12,15,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,xgb_ranker,kvyat,10,25,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,lgb_reg,ricciardo,7,12,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,5,ensemble,ricciardo,7,12,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2015,2011,2014,6,ridge,vettel,2,2,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,rf_reg,rosberg,1,1,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,rf_clf,vettel,2,2,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,xgb_reg,rosberg,1,1,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,xgb_clf,vettel,2,2,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,xgb_ranker,vettel,2,2,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,lgb_reg,rosberg,1,1,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,6,ensemble,vettel,2,2,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,ridge,maldonado,7,12,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,rf_reg,hulkenberg,8,15,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,rf_clf,sainz,12,15,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,xgb_reg,sainz,12,15,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,xgb_clf,nasr,16,6,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,xgb_ranker,sainz,12,15,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,lgb_reg,grosjean,10,25,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,7,ensemble,perez,11,18,0.3157894736842105,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2015,2011,2014,8,ridge,grosjean,15,8,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2015,2011,2014,8,rf_reg,hulkenberg,6,10,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2015,2011,2014,8,rf_clf,sainz,16,6,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
2015,2011,2014,8,xgb_reg,maldonado,7,12,0.3684210526315789,1,2,2,H1 (early),T2 (mid),Q2 (26–50%)
