lgb_reg,lgbm_ranker,rf_clf,rf_reg,ridge,xgb_clf,xgb_ranker,xgb_reg
4.5349224099625096e-23,6.232772151084092e-18,1.0,4.989242664697136e-91,1.563107871555173e-32,1.1403578107543497e-30,2.681213430037838e-22,1.8815254197947105e-18
8.109460465511727e-37,1.6366491669632243e-20,1.842476963091982e-21,7.609983784721582e-23,2.506054965226063e-22,1.0,1.2497023799263923e-48,2.553732738577529e-18
8.83125587236575e-93,8.89529415313742e-33,1.2970516591873301e-18,5.2629079764063715e-254,3.453173881340213e-47,7.060478777916462e-34,1.0,6.471815282066114e-17
5.610046464026693e-18,1.7197039996265995e-16,2.0104437762896684e-19,4.253204600127026e-20,8.376400176925079e-19,0.9999999999999998,2.0376057217161672e-19,3.649548510807963e-20
8.366409645161444e-18,1.0,1.1352530580515526e-21,4.093504980177524e-19,1.8034328202423873e-64,3.233885459655583e-21,2.993587599955958e-17,8.615944944114974e-25
2.0055366552438247e-59,8.629683971093998e-73,1.0,3.6317952161284694e-28,3.4450001829152e-19,1.358406779989581e-26,4.5473109057122365e-85,4.3420215078976365e-51
3.0706856940114075e-28,1.894519159265312e-27,1.0,3.4508328183188094e-27,1.9130041222673092e-28,3.7669467768727497e-28,4.277799481534159e-17,1.0156534607482096e-31
3.914165747978825e-30,4.728546816036669e-21,6.422090800632497e-18,4.346060757027993e-19,4.802851487537757e-25,1.0,4.3513945348645344e-26,3.681878080910022e-21
5.697752403363598e-20,1.5654863939848782e-20,6.080514315923309e-19,7.74294561102769e-24,6.608427326266213e-19,1.0,1.4882411973941475e-20,1.2071922731290252e-39
3.514063400408121e-52,1.7303801095980452e-13,2.0286645563971025e-22,5.7406294858107656e-24,3.951163406588041e-24,0.999999999999827,5.1439531706677815e-18,6.5571154258924305e-37
7.567748669655381e-88,3.681117269562613e-29,9.637607450734898e-28,1.845464368121076e-115,5.643829430029049e-42,1.8654235562346553e-15,0.9999999999999982,2.2563104829143876e-26
1.6727821238004616e-36,5.18233793135958e-18,1.0,3.719340864521247e-20,8.805168361288607e-18,3.0427294329363894e-17,1.7885008833574301e-22,1.12642848960281e-28
0.0,2.2005727830757152e-284,1.4800242620612152e-160,0.0,2.4321540842500167e-18,1.0,0.0,1.1548364255609792e-280
1.2136077516175218e-65,2.2502305098542624e-18,1.0,9.489428923260444e-35,6.652106145508363e-86,1.71655475045727e-24,1.4063399925125708e-30,5.394547139726805e-31
4.2407821431643085e-24,5.51155342061218e-16,1.5343928076815795e-23,2.2531789091494887e-23,2.368925354887339e-25,0.9999999999999996,5.549046316444652e-23,4.989599953274471e-25
