year,round,driverId,driverRef,drv_mechanical_dnf_rate
2014,12,8,raikkonen,0.05
2014,13,8,raikkonen,0.05
2014,14,8,raikkonen,0.05
2014,15,8,raikkonen,0.0
2014,16,8,raikkonen,0.0
2014,17,8,raikkonen,0.0
2014,18,8,raikkonen,0.0
2014,19,8,raikkonen,0.0
2015,1,8,raikkonen,0.0
2015,2,8,raikkonen,0.05
2015,3,8,raikkonen,0.05
2015,4,8,raikkonen,0.05
2015,5,8,raikkonen,0.05
2015,6,8,raikkonen,0.05
2015,7,8,raikkonen,0.05
2015,8,8,raikkonen,0.05
2015,9,8,raikkonen,0.05
2015,10,8,raikkonen,0.05
2015,11,8,raikkonen,0.1
2015,12,8,raikkonen,0.1
2015,13,8,raikkonen,0.1
2015,14,8,raikkonen,0.1
2015,15,8,raikkonen,0.1
2015,16,8,raikkonen,0.1
2015,17,8,raikkonen,0.1
2015,18,8,raikkonen,0.1
2015,19,8,raikkonen,0.1
2016,1,8,raikkonen,0.1
2016,2,8,raikkonen,0.15
2016,3,8,raikkonen,0.1
2016,4,8,raikkonen,0.1
2016,5,8,raikkonen,0.1
2016,6,8,raikkonen,0.1
2016,7,8,raikkonen,0.1
2016,8,8,raikkonen,0.1
2016,9,8,raikkonen,0.1
2016,10,8,raikkonen,0.1
