year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,4,Bahrain Grand Prix,rf_reg,sainz,sainz,bearman,19,19,1,1,0,False,both
2025,5,Saudi Arabian Grand Prix,rf_reg,tsunoda,tsunoda,hadjar,19,19,1,1,0,False,both
2025,6,Miami Grand Prix,rf_reg,hamilton,ocon,tsunoda,8,12,15,15,0,True,both
2025,7,Emilia Romagna Grand Prix,rf_reg,antonelli,alonso,tsunoda,19,11,1,18,17,True,both
2025,8,Monaco Grand Prix,rf_reg,russell,russell,sainz,11,11,18,18,0,False,both
2025,9,Spanish Grand Prix,rf_reg,hadjar,albon,max_verstappen,7,19,12,1,-11,True,both
2025,10,Canadian Grand Prix,rf_reg,albon,albon,sainz,20,20,0,0,0,False,both
2025,11,Austrian Grand Prix,rf_reg,antonelli,lawson,ocon,19,6,1,10,9,True,both
2025,12,British Grand Prix,rf_reg,bearman,bearman,russell,11,11,18,18,0,False,both
2025,13,Belgian Grand Prix,rf_reg,hamilton,hamilton,gasly,7,7,12,12,0,False,both
2025,14,Hungarian Grand Prix,rf_reg,bortoleto,bortoleto,antonelli,6,6,10,10,0,False,both
2025,15,Dutch Grand Prix,rf_reg,antonelli,antonelli,ocon,16,16,6,6,0,False,both
2025,16,Italian Grand Prix,rf_reg,alonso,alonso,hadjar,19,19,1,1,0,False,both
2025,17,Azerbaijan Grand Prix,rf_reg,sainz,hamilton,hadjar,3,8,4,15,11,True,both
2025,18,Singapore Grand Prix,rf_reg,hadjar,hadjar,sainz,11,11,18,18,0,False,both
2025,19,United States Grand Prix,rf_reg,sainz,sainz,alonso,20,20,0,0,0,False,both
2025,20,Mexico City Grand Prix,rf_reg,sainz,sainz,bortoleto,17,17,4,4,0,False,both
2025,21,São Paulo Grand Prix,rf_reg,hamilton,hamilton,gasly,18,18,2,2,0,False,both
2025,22,Las Vegas Grand Prix,rf_reg,hamilton,leclerc,bearman,8,4,15,6,-9,True,both
2025,23,Qatar Grand Prix,rf_reg,alonso,alonso,tsunoda,7,7,12,12,0,False,both
2025,24,Abu Dhabi Grand Prix,rf_reg,antonelli,antonelli,stroll,15,15,8,8,0,False,both
2025,1,Australian Grand Prix,ridge,tsunoda,tsunoda,hamilton,12,12,15,15,0,False,both
2025,2,Chinese Grand Prix,ridge,hadjar,hadjar,sainz,11,11,18,18,0,False,both
2025,3,Japanese Grand Prix,ridge,albon,albon,bearman,9,9,18,18,0,False,both
2025,4,Bahrain Grand Prix,ridge,sainz,sainz,bearman,19,19,1,1,0,False,both
2025,5,Saudi Arabian Grand Prix,ridge,tsunoda,tsunoda,hadjar,19,19,1,1,0,False,both
2025,6,Miami Grand Prix,ridge,hamilton,hamilton,tsunoda,8,8,15,15,0,False,both
2025,7,Emilia Romagna Grand Prix,ridge,alonso,alonso,tsunoda,11,11,18,18,0,False,both
2025,8,Monaco Grand Prix,ridge,hadjar,hadjar,sainz,6,6,10,10,0,False,both
2025,9,Spanish Grand Prix,ridge,hadjar,hadjar,max_verstappen,7,7,12,12,0,False,both
2025,10,Canadian Grand Prix,ridge,alonso,alonso,sainz,7,7,12,12,0,False,both
2025,11,Austrian Grand Prix,ridge,antonelli,antonelli,ocon,19,19,1,1,0,False,both
2025,12,British Grand Prix,ridge,alonso,alonso,russell,9,9,18,18,0,False,both
2025,13,Belgian Grand Prix,ridge,albon,albon,gasly,6,6,10,10,0,False,both
2025,14,Hungarian Grand Prix,ridge,stroll,stroll,antonelli,7,7,12,12,0,False,both
2025,15,Dutch Grand Prix,ridge,hadjar,hadjar,ocon,3,3,4,4,0,False,both
2025,16,Italian Grand Prix,ridge,antonelli,antonelli,hadjar,9,9,18,18,0,False,both
2025,17,Azerbaijan Grand Prix,ridge,tsunoda,tsunoda,hadjar,6,6,10,10,0,False,both
2025,18,Singapore Grand Prix,ridge,hadjar,hadjar,sainz,11,11,18,18,0,False,both
2025,19,United States Grand Prix,ridge,sainz,sainz,alonso,20,20,0,0,0,False,both
2025,20,Mexico City Grand Prix,ridge,sainz,sainz,bortoleto,17,17,4,4,0,False,both
2025,21,São Paulo Grand Prix,ridge,hamilton,max_verstappen,gasly,18,3,2,4,2,True,both
2025,22,Las Vegas Grand Prix,ridge,lawson,lawson,bearman,14,14,10,10,0,False,both
2025,23,Qatar Grand Prix,ridge,sainz,hadjar,tsunoda,3,18,4,2,-2,True,both
2025,24,Abu Dhabi Grand Prix,ridge,alonso,alonso,stroll,6,6,10,10,0,False,both
2025,1,Australian Grand Prix,xgb_clf,bortoleto,bortoleto,hamilton,16,16,6,6,0,False,both
2025,2,Chinese Grand Prix,xgb_clf,tsunoda,albon,sainz,16,7,6,12,6,True,both
2025,3,Japanese Grand Prix,xgb_clf,bearman,albon,bearman,10,9,25,18,-7,True,both
2025,4,Bahrain Grand Prix,xgb_clf,doohan,hadjar,bearman,14,13,10,12,2,True,both
2025,5,Saudi Arabian Grand Prix,xgb_clf,albon,albon,hadjar,9,9,18,18,0,False,both
2025,6,Miami Grand Prix,xgb_clf,hadjar,hadjar,tsunoda,11,11,18,18,0,False,both
2025,7,Emilia Romagna Grand Prix,xgb_clf,hadjar,hadjar,tsunoda,9,9,18,18,0,False,both
2025,8,Monaco Grand Prix,xgb_clf,albon,tsunoda,sainz,9,17,18,4,-14,True,both
2025,9,Spanish Grand Prix,xgb_clf,hadjar,hadjar,max_verstappen,7,7,12,12,0,False,both
2025,10,Canadian Grand Prix,xgb_clf,hadjar,hadjar,sainz,16,16,6,6,0,False,both
2025,11,Austrian Grand Prix,xgb_clf,tsunoda,bortoleto,ocon,16,8,6,15,9,True,both
2025,12,British Grand Prix,xgb_clf,tsunoda,bearman,russell,15,11,8,18,10,True,both
2025,13,Belgian Grand Prix,xgb_clf,bearman,bearman,gasly,11,11,18,18,0,False,both
2025,14,Hungarian Grand Prix,xgb_clf,tsunoda,antonelli,antonelli,17,10,4,25,21,True,both
2025,15,Dutch Grand Prix,xgb_clf,sainz,alonso,ocon,13,8,12,15,3,True,both
2025,16,Italian Grand Prix,xgb_clf,albon,albon,hadjar,7,7,12,12,0,False,both
